,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2019-08-05 09:30:00,2019-08-05,09:30 AM,197.945,196.86,197.515,7013.0,1385174.52,72.0,198.0,196.75,197.662,1314952.0,259915961.1243,3569.0,197.91,197.71,197.99,197.71,0.0,0.0
2019-08-05 09:31:00,2019-08-05,09:31 AM,198.38,197.68,198.166,7251.0,1436901.64,61.0,198.4,197.452,197.959,273595.0,54160619.8108,1332.0,197.715,197.82,197.71,197.845,0.0032959522061616103,0.0015025649846707866
2019-08-05 09:32:00,2019-08-05,09:32 AM,198.12,197.72,197.912,2596.0,513778.58,30.0,198.26,197.69,197.936,219753.0,43497161.1091,1165.0,197.99,198.12,197.89,198.13,0.002009973926031035,0.0013862047333326633
2019-08-05 09:33:00,2019-08-05,09:33 AM,198.6,197.86,198.214,5530.0,1096122.315,74.0,198.649,197.84,198.263,248968.0,49361290.3338,1255.0,198.12,198.35,198.13,198.339,0.0035389717236666194,0.0030405439588792943
2019-08-05 09:34:00,2019-08-05,09:34 AM,198.4,198.1,198.262,5381.0,1066848.11,59.0,198.43,198.02,198.237,163366.0,32385122.6822,931.0,198.37,198.1,198.36,198.02,0.0037819912411716284,0.0029090062834535146
2019-08-05 09:35:00,2019-08-05,09:35 AM,198.06,197.31,197.609,6619.0,1307972.49,86.0,198.04,197.26,197.648,203546.0,40230511.3236,1034.0,198.06,197.39,198.03,197.41,0.00047591322178073826,-7.082797907544194e-05
2019-08-05 09:36:00,2019-08-05,09:36 AM,197.51,197.26,197.373,11864.0,2341637.75,92.0,197.54,197.25,197.377,167512.0,33063079.2532,878.0,197.39,197.37,197.4,197.28,-0.0007189327392856033,-0.001441855288320449
2019-08-05 09:37:00,2019-08-05,09:37 AM,197.29,196.83,197.078,5565.0,1096741.29,64.0,197.31,196.8,197.087,216071.0,42584770.5568,1136.0,197.23,196.88,197.28,196.87,-0.00221249019061835,-0.0029090062834536586
2019-08-05 09:38:00,2019-08-05,09:38 AM,197.39,196.84,197.184,14918.0,2941591.31,134.0,197.4,196.84,197.179,250500.0,49393275.7334,1167.0,196.89,197.25,196.87,197.221,-0.0016758220894615035,-0.0024435652781010214
2019-08-05 09:39:00,2019-08-05,09:39 AM,197.34,197.02,197.149,3483.0,686671.9,35.0,197.36,196.97,197.129,129736.0,25574684.9762,674.0,197.15,197.31,197.2,197.29,-0.0018530238209755485,-0.0026965223462274766
2019-08-05 09:40:00,2019-08-05,09:40 AM,197.22,196.4,196.615,9462.0,1860367.45,113.0,197.31,196.4,196.687,277006.0,54483492.39,1391.0,197.22,196.65,197.28,196.74,-0.004556615953218628,-0.004932662828464724
2019-08-05 09:41:00,2019-08-05,09:41 AM,196.76,196.125,196.405,6693.0,1314538.83,70.0,196.79,196.101,196.432,240470.0,47235943.7586,985.0,196.76,196.25,196.745,196.34,-0.0056198263423030415,-0.006222743875909473
2019-08-05 09:42:00,2019-08-05,09:42 AM,196.52,196.23,196.335,6555.0,1286979.51,61.0,196.523,196.223,196.355,165368.0,32470784.166,749.0,196.32,196.23,196.31,196.225,-0.005974229805331132,-0.006612297760824115
2019-08-05 09:43:00,2019-08-05,09:43 AM,196.27,195.81,195.926,4817.0,943773.62,49.0,196.28,195.8,195.966,233827.0,45822203.0876,1089.0,196.2,195.88,196.22,195.87,-0.008044958610738418,-0.008580303750847396
2019-08-05 09:44:00,2019-08-05,09:44 AM,195.99,195.545,195.743,11436.0,2238513.9,96.0,196.0,195.52,195.75,278046.0,54427468.26,1194.0,195.87,195.665,195.87,195.603,-0.008971470521226193,-0.009673078285153475
2019-08-05 09:45:00,2019-08-05,09:45 AM,195.97,195.53,195.784,6590.0,1290218.7,89.0,195.98,195.52,195.778,234259.0,45862856.5513,1216.0,195.645,195.95,195.61,195.96,-0.008763891350024021,-0.009531422327002735
2019-08-05 09:46:00,2019-08-05,09:46 AM,196.1,195.75,195.898,7571.0,1483142.295,91.0,196.1,195.74,195.891,177569.0,34784096.2212,913.0,195.94,196.1,195.94,196.09,-0.008186719995949625,-0.008959739353037078
2019-08-05 09:47:00,2019-08-05,09:47 AM,196.25,195.86,196.062,5612.0,1100301.875,75.0,196.25,195.86,196.086,175267.0,34367486.5614,750.0,196.11,196.025,196.065,196.02,-0.007356403311140797,-0.007973206787344018
2019-08-05 09:48:00,2019-08-05,09:48 AM,196.02,195.74,195.855,5021.0,983390.33,61.0,196.029,195.71,195.843,128583.0,25182052.3734,749.0,196.02,195.84,196.02,195.771,-0.00840442498038122,-0.009202578138438429
2019-08-05 09:49:00,2019-08-05,09:49 AM,195.91,195.58,195.777,4477.0,876492.43,55.0,195.93,195.57,195.771,135795.0,26584773.3256,741.0,195.81,195.63,195.771,195.62,-0.00879933169632686,-0.009566836316540456
2019-08-05 09:50:00,2019-08-05,09:50 AM,195.66,195.36,195.528,7474.0,1461373.7,90.0,195.68,195.331,195.527,194256.0,37982325.1122,1054.0,195.6,195.62,195.62,195.62,-0.01005999544338402,-0.010801266808997274
2019-08-05 09:51:00,2019-08-05,09:51 AM,196.04,195.64,195.841,10482.0,2052803.35,105.0,196.04,195.64,195.865,188988.0,37016138.0974,1010.0,195.64,195.93,195.64,195.92,-0.008475305672986752,-0.009091277028462715
2019-08-05 09:52:00,2019-08-05,09:52 AM,195.97,195.58,195.737,6780.0,1327099.1,70.0,195.989,195.58,195.726,140252.0,27450935.9813,770.0,195.93,195.8,195.92,195.79,-0.009001847960914319,-0.00979449767785415
2019-08-05 09:53:00,2019-08-05,09:53 AM,195.8,195.63,195.728,4624.0,905045.44,53.0,195.81,195.59,195.728,122053.0,23889193.5838,727.0,195.78,195.68,195.8,195.68,-0.009047414120446436,-0.009784379395129045
2019-08-05 09:54:00,2019-08-05,09:54 AM,195.91,195.64,195.753,4567.0,894002.95,56.0,195.92,195.637,195.774,96244.0,18842107.5552,649.0,195.64,195.88,195.67,195.91,-0.008920841455079364,-0.009551658892452798
2019-08-05 09:55:00,2019-08-05,09:55 AM,196.25,195.79,196.034,6788.0,1330678.305,95.0,196.29,195.78,196.041,206508.0,40484100.899,1201.0,195.95,196.01,195.89,195.96,-0.0074981646963521486,-0.008200868148657857
2019-08-05 09:56:00,2019-08-05,09:56 AM,196.32,195.96,196.167,5940.0,1165235.15,72.0,196.32,195.91,196.155,201875.0,39598879.623,854.0,196.0,196.28,196.02,196.27,-0.006824798116598663,-0.007624126033329648
2019-08-05 09:57:00,2019-08-05,09:57 AM,196.445,196.27,196.349,7927.0,1556455.8,77.0,196.47,196.26,196.385,247225.0,48551197.6666,990.0,196.33,196.405,196.28,196.404,-0.0059033491127256,-0.006460523519948271
2019-08-05 09:58:00,2019-08-05,09:58 AM,196.41,196.21,196.297,6729.0,1320880.2,76.0,196.41,196.21,196.295,107482.0,21098203.2033,472.0,196.4,196.28,196.4,196.29,-0.0061666202566893116,-0.006915846242575804
2019-08-05 09:59:00,2019-08-05,09:59 AM,196.28,196.09,196.173,3556.0,697589.67,49.0,196.29,196.09,196.191,100259.0,19669881.7801,531.0,196.27,196.23,196.28,196.23,-0.006794420676910537,-0.0074419969442786355
2019-08-05 10:00:00,2019-08-05,10 AM,196.4,195.99,196.131,6517.0,1278184.32,57.0,196.43,195.86,196.138,204597.0,40129175.0459,888.0,196.1,196.12,196.15,196.08,-0.007007062754727419,-0.007710131436492603
2019-08-05 10:01:00,2019-08-05,10:01 AM,196.08,195.245,195.595,8476.0,1657867.435,93.0,196.11,195.22,195.613,245984.0,48117608.0476,1115.0,196.08,195.36,196.09,195.34,-0.009720780700199922,-0.010366180651819806
2019-08-05 10:02:00,2019-08-05,10:02 AM,195.41,195.14,195.232,7702.0,1503674.1,90.0,195.403,195.13,195.232,167331.0,32668378.2469,740.0,195.33,195.19,195.33,195.18,-0.01155861580133148,-0.012293713510942958
2019-08-05 10:03:00,2019-08-05,10:03 AM,195.59,195.17,195.428,3181.0,621656.955,42.0,195.6,195.16,195.432,148527.0,29026999.7618,505.0,195.17,195.38,195.17,195.36,-0.010566286104852742,-0.011281885238437424
2019-08-05 10:04:00,2019-08-05,10:04 AM,195.44,195.295,195.382,4893.0,956005.54,53.0,195.5,195.271,195.38,110846.0,21657055.3791,558.0,195.35,195.4,195.36,195.424,-0.010799179809128328,-0.01154496058928884
2019-08-05 10:05:00,2019-08-05,10:05 AM,195.57,195.31,195.439,7565.0,1478494.03,79.0,195.59,195.3,195.448,122905.0,24021593.9008,581.0,195.36,195.42,195.414,195.38,-0.0105105941320912,-0.011200938976636878
2019-08-05 10:06:00,2019-08-05,10:06 AM,195.75,195.38,195.617,5608.0,1097021.395,65.0,195.77,195.37,195.638,140292.0,27446468.6895,681.0,195.38,195.6,195.375,195.611,-0.009609396754676841,-0.010239702117756579
2019-08-05 10:07:00,2019-08-05,10:07 AM,195.87,195.58,195.752,3765.0,737005.54,45.0,195.888,195.55,195.734,99682.0,19511196.5329,445.0,195.59,195.79,195.61,195.78,-0.008925904361693932,-0.009754024546953876
2019-08-05 10:08:00,2019-08-05,10:08 AM,196.1,195.72,195.943,5569.0,1091205.57,69.0,196.1,195.72,195.941,135356.0,26521745.6835,607.0,195.73,195.9,195.76,195.88,-0.007958889198288608,-0.008706782284910623
2019-08-05 10:09:00,2019-08-05,10:09 AM,196.13,195.86,196.012,4698.0,920864.41,63.0,196.15,195.822,196.015,105064.0,20594089.0951,516.0,195.86,196.03,195.85,196.1,-0.00760954864187523,-0.008332405824083636
2019-08-05 10:10:00,2019-08-05,10:10 AM,196.23,195.965,196.105,4835.0,948167.93,51.0,196.25,195.94,196.13,184342.0,36154908.3434,525.0,196.13,196.23,196.13,196.22,-0.007138698326709347,-0.007750604567392876
2019-08-05 10:11:00,2019-08-05,10:11 AM,196.41,196.14,196.277,4361.0,855963.4,55.0,196.43,196.14,196.254,151846.0,29800348.7267,569.0,196.22,196.41,196.227,196.43,-0.006267878388983113,-0.007123271038439434
2019-08-05 10:12:00,2019-08-05,10:12 AM,196.56,196.22,196.416,6802.0,1336019.18,87.0,196.56,196.21,196.431,144977.0,28478039.6906,617.0,196.41,196.24,196.42,196.25,-0.005564134369541502,-0.006227803017271881
2019-08-05 10:13:00,2019-08-05,10:13 AM,196.36,196.18,196.286,4108.0,806345.195,48.0,196.39,196.18,196.29,85544.0,16791412.705,410.0,196.21,196.21,196.235,196.19,-0.006222312229450852,-0.006941141949388421
2019-08-05 10:14:00,2019-08-05,10:14 AM,196.36,196.13,196.247,4422.0,867803.04,55.0,196.36,196.13,196.234,85962.0,16868671.2572,421.0,196.21,196.26,196.18,196.25,-0.0064197655874236,-0.007224453865689901
2019-08-05 10:15:00,2019-08-05,10:15 AM,196.5,196.12,196.262,6233.0,1223300.12,77.0,196.5,196.12,196.256,95513.0,18745018.5201,494.0,196.235,196.5,196.24,196.49,-0.006343821988203356,-0.00711315275571433
2019-08-05 10:16:00,2019-08-05,10:16 AM,196.6,196.38,196.485,4956.0,973781.53,60.0,196.61,196.37,196.494,99238.0,19499657.3099,495.0,196.56,196.56,196.5,196.6,-0.005214793813127979,-0.0059090771114326795
2019-08-05 10:17:00,2019-08-05,10:17 AM,196.68,196.44,196.597,3646.0,716791.885,48.0,196.681,196.44,196.61,89566.0,17609575.8606,396.0,196.56,196.44,196.577,196.44,-0.004647748272283006,-0.005322216713379367
2019-08-05 10:18:00,2019-08-05,10:18 AM,196.5,196.35,196.407,4659.0,915062.765,66.0,196.5,196.34,196.406,100442.0,19727427.8739,511.0,196.5,196.44,196.43,196.42,-0.005609700529073619,-0.0063542815513351085
2019-08-05 10:19:00,2019-08-05,10:19 AM,196.48,196.22,196.37,5685.0,1116361.69,64.0,196.49,196.213,196.364,80991.0,15903714.5536,396.0,196.43,196.23,196.41,196.23,-0.005797028073817087,-0.00656676548856129
2019-08-05 10:20:00,2019-08-05,10:20 AM,196.31,195.95,196.061,7995.0,1567508.9,80.0,196.33,195.94,196.063,159489.0,31269879.9342,797.0,196.24,196.05,196.24,196.066,-0.0073614662177555095,-0.008089567038682285
2019-08-05 10:21:00,2019-08-05,10:21 AM,196.21,196.08,196.167,3422.0,671282.39,38.0,196.24,196.047,196.161,52317.0,10262530.2002,277.0,196.08,196.17,196.047,196.15,-0.006824798116598663,-0.0075937711851544795
2019-08-05 10:22:00,2019-08-05,10:22 AM,196.4,196.12,196.265,5955.0,1168756.22,60.0,196.4,196.1,196.255,109156.0,21422382.8752,525.0,196.17,196.12,196.14,196.14,-0.006328633268359365,-0.007118211897076882
2019-08-05 10:23:00,2019-08-05,10:23 AM,196.25,196.03,196.128,2990.0,586422.03,39.0,196.25,196.01,196.113,48521.0,9515612.5704,283.0,196.15,196.03,196.12,196.06,-0.007022251474571554,-0.00783660997055583
